virus	human	group	human_uniprot
E	BAG4	INET	O95429
E	CREB3L1	Roth	Q96BA8
E	PROP1	INET	O75360
E	TMEM258	Roth	P61165
N	ADARB1	INET	P78563
N	ARPC3	INET	O15145
N	BYSL	INET	Q13895
N	CDC37	INET	Q16543
N	EHHADH	INET	Q08426
N	EIF2AK2	INET	P19525
N	ELOA	INET	Q14241
N	G3BP1	INET	Q13283
N	G3BP2	INET	Q9UN86
N	KLC1	INET	Q07866
N	KLC2	INET	Q9H0B6
N	KLC4	INET	Q9NSK0
N	LYAR	INET	Q9NX58
N	MORF4L1	INET	Q9UBU8
N	MORF4L2	INET	Q15014
N	NKRF	INET	O15226
N	PRKRA	INET	O75569
N	RAD23B	INET	P54727
N	TARBP2	INET	Q15633
N	USO1	INET	O60763
N	USP9X	INET	Q93008
N	WDYHV1	INET	Q96HA8
NSP1	KLHL28	Roth	Q9NXS3
NSP1	MARS	Roth	P56192
NSP10	MEI4	Roth	A8MW99
NSP12	AHNAK	Roth	Q09666
NSP12	ARRDC3	Roth	Q96B67
NSP12	CATSPER2	Roth	Q96P56
NSP12	CHCHD3	Roth	Q9NX63
NSP12	CLUHP3	Roth	Q96NS8
NSP12	CPSF7	Roth	Q8N684
NSP12	DDIT4L	Roth	Q96D03
NSP12	KRTAP4-12	Roth	Q9BQ66
NSP12	LMX1A	Roth	Q8TE12
NSP12	MBNL1	Roth	Q9NR56
NSP12	NPIPB5	Roth	A8MRT5
NSP12	PABPC3	Roth	Q9H361
NSP12	PAX7	Roth	P23759
NSP12	PBXIP1	Roth	Q96AQ6
NSP12	POLM	Roth	Q9NP87
NSP12	PYGO2	Roth	Q9BRQ0
NSP12	SACM1L	Roth	Q9NTJ5
NSP12	SERPINB9	Roth	P50453
NSP12	SLC25A2	Roth	Q9BXI2
NSP12	ZNF19	Roth	P17023
NSP12	ZNF572	Roth	Q7Z3I7
NSP13	ARAP3	Roth	Q8WWN8
NSP13	CTBP1-AS2	Roth	NA
NSP13	KLHL20	Roth	Q9Y2M5
NSP13	PROP1	INET	O75360
NSP13	VEGFB	Roth	P49765
NSP14	C1QTNF6	Binary	Q9BXI9
NSP14	C22orf42	Roth	Q6IC83
NSP14	CCDC57	INET	Q2TAC2
NSP14	CEP250	INET	Q9BV73
NSP14	CLTCL1	INET	P53675
NSP14	COG6	INET	Q9Y2V7
NSP14	GOLGA2	INET	Q08379
NSP14	GOLGA6L9	INET	A6NEM1
NSP14	IKBKG	INET	Q9Y6K9
NSP14	KALRN	INET	O60229
NSP14	LBX1	INET	P52954
NSP14	MAD1L1	INET	Q9Y6D9
NSP14	MEI4	Roth	A8MW99
NSP14	MTUS2	INET	Q5JR59
NSP14	NOTO	INET	A8MTQ0
NSP14	PROP1	INET	O75360
NSP14	REL	INET	Q04864
NSP14	RGP1	Roth	Q92546
NSP14	SF3B4	INET	Q15427
NSP14	SPAG5	INET	Q96R06
NSP14	SPART	Roth	Q8N0X7
NSP14	TEPSIN	Roth	Q96N21
NSP14	TRAF1	INET	Q13077
NSP14	TRAF2	INET	Q12933
NSP14	TRIM27	INET	P14373
NSP14	TRIM50	INET	Q86XT4
NSP14	TRIML2	Roth	Q8N7C3
NSP14	TTC23L	Roth	Q6PF05
NSP15	PROP1	INET	O75360
NSP16	ACOT11	Roth	Q8WXI4
NSP16	AKAP9	Roth	Q99996
NSP16	AMOT	INET	Q4VCS5
NSP16	ANKRD36B	Roth	Q8N2N9
NSP16	ASB12	Roth	Q8WXK4
NSP16	ASZ1	INET	Q8WWH4
NSP16	CARD9	INET	Q9H257
NSP16	CCNDBP1	Binary	O95273
NSP16	COG3	Roth	Q96JB2
NSP16	COG6	INET	Q9Y2V7
NSP16	DAAM2	Roth	Q86T65
NSP16	DHX8	Roth	Q14562
NSP16	EXOC6	Roth	Q8TAG9
NSP16	F13A1	Roth	P00488
NSP16	GBE1	INET	Q04446
NSP16	GOLGA2	INET	Q08379
